ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
NdandaNyep-57_i-1,,NdandaNyep,57_i,wɛ́,wɛ́,w ɛ́/ɛ,,taffrendanda,,,^ w ɛ́ $,default
NdandaShingou-57_i-1,,NdandaShingou,57_i,wɛ́,wɛ́,w ɛ́/ɛ,,taffrendanda,,,^ w ɛ́ $,default
NdandaCaa-57_i-1,,NdandaCaa,57_i,wɛ́,wɛ́,w ɛ́/ɛ,,taffrendanda,,,^ w ɛ́ $,default
NdandaMeno-57_i-1,,NdandaMeno,57_i,mé,mé,m é/e,,taffrendanda,,,^ m é $,default
NdandaLek-57_i-1,,NdandaLek,57_i,mà,mà,m à/a,,taffrendanda,,,^ m à $,default
NdandaNgwa-57_i-1,,NdandaNgwa,57_i,mǎ,mǎ,m ǎ/a,,taffrendanda,,,^ m ǎ $,default
NdandaTwefap-57_i-1,,NdandaTwefap,57_i,mɔ̂,mɔ̂,m ɔ̂/ɔ,,taffrendanda,,,^ m ɔ̂ $,default
NdandaDenfap-57_i-1,,NdandaDenfap,57_i,mé,mé,m é/e,,taffrendanda,,,^ m é $,default
NdandaZua-57_i-1,,NdandaZua,57_i,̀mà,mà,m à/a,,taffrendanda,,,^ m à $,default
Goshimjang-57_i-1,,Goshimjang,57_i,mà,mà,m à/a,,taffrendanda,,,^ m à $,default
NdandaNyep-141_yousg-1,,NdandaNyep,141_yousg,jɔ̌,jɔ̌,j ɔ̌/ɔ,,taffrendanda,,,^ j ɔ̌ $,default
NdandaShingou-141_yousg-1,,NdandaShingou,141_yousg,hû,hû,h û/u,,taffrendanda,,,^ h û $,default
NdandaCaa-141_yousg-1,,NdandaCaa,141_yousg,hû,hû,h û/u,,taffrendanda,,,^ h û $,default
NdandaMeno-141_yousg-1,,NdandaMeno,141_yousg,hû,hû,h û/u,,taffrendanda,,,^ h û $,default
NdandaLek-141_yousg-1,,NdandaLek,141_yousg,ù,ù,ù/u,,taffrendanda,,,^ ù $,default
NdandaNgwa-141_yousg-1,,NdandaNgwa,141_yousg,wû,wû,w û/u,,taffrendanda,,,^ w û $,default
NdandaTwefap-141_yousg-1,,NdandaTwefap,141_yousg,hû,hû,h û/u,,taffrendanda,,,^ h û $,default
NdandaDenfap-141_yousg-1,,NdandaDenfap,141_yousg,hûwɔ́,hûwɔ́,h û/u w ɔ́/ɔ,,taffrendanda,,,^ h ûw ɔ́ $,default
NdandaZua-141_yousg-1,,NdandaZua,141_yousg,ù,ù,ù/u,,taffrendanda,,,^ ù $,default
Goshimjang-141_yousg-1,,Goshimjang,141_yousg,ù,ù,ù/u,,taffrendanda,,,^ ù $,default
NdandaNyep-48_he-1,,NdandaNyep,48_he,jɔ̌,jɔ̌,j ɔ̌/ɔ,,taffrendanda,,,^ j ɔ̌ $,default
NdandaShingou-48_he-1,,NdandaShingou,48_he,jɔ̌,jɔ̌,j ɔ̌/ɔ,,taffrendanda,,,^ j ɔ̌ $,default
NdandaCaa-48_he-1,,NdandaCaa,48_he,jɔ̌,jɔ̌,j ɔ̌/ɔ,,taffrendanda,,,^ j ɔ̌ $,default
NdandaMeno-48_he-1,,NdandaMeno,48_he,jɔ̌,jɔ̌,j ɔ̌/ɔ,,taffrendanda,,,^ j ɔ̌ $,default
NdandaLek-48_he-1,,NdandaLek,48_he,jɔ́,jɔ́,j ɔ́/ɔ,,taffrendanda,,,^ j ɔ́ $,default
NdandaNgwa-48_he-1,,NdandaNgwa,48_he,ʒǔ,ʒǔ,ʒ ǔ/u,,taffrendanda,,,^ ʒ ǔ $,default
NdandaTwefap-48_he-1,,NdandaTwefap,48_he,ʒîp,ʒîp,ʒ î/i p,,taffrendanda,,,^ ʒ î p $,default
NdandaDenfap-48_he-1,,NdandaDenfap,48_he,ʒɨ̌,ʒɨ̌,ʒ ɨ̌/ɨ,,taffrendanda,,,^ ʒ ɨ̌ $,default
NdandaZua-48_he-1,,NdandaZua,48_he,jó,jó,j ó/o,,taffrendanda,,,^ j ó $,default
Goshimjang-48_he-1,,Goshimjang,48_he,jɔ́,jɔ́,j ɔ́/ɔ,,taffrendanda,,,^ j ɔ́ $,default
NdandaNyep-125_we-1,,NdandaNyep,125_we,pâpə̀,pâpə̀,p â/a p ə̀/ə,,taffrendanda,,,^ p â p ə̀ $,default
NdandaShingou-125_we-1,,NdandaShingou,125_we,pâpə̀,pâpə̀,p â/a p ə̀/ə,,taffrendanda,,,^ p â p ə̀ $,default
NdandaCaa-125_we-1,,NdandaCaa,125_we,pâpə̀,pâpə̀,p â/a p ə̀/ə,,taffrendanda,,,^ p â p ə̀ $,default
NdandaMeno-125_we-1,,NdandaMeno,125_we,pə̀,pə̀,p ə̀/ə,,taffrendanda,,,^ p ə̀ $,default
NdandaLek-125_we-1,,NdandaLek,125_we,pɔ̀,pɔ̀,p ɔ̀/ɔ,,taffrendanda,,,^ p ɔ̀ $,default
NdandaNgwa-125_we-1,,NdandaNgwa,125_we,pâpə̀,pâpə̀,p â/a p ə̀/ə,,taffrendanda,,,^ p â p ə̀ $,default
NdandaTwefap-125_we-1,,NdandaTwefap,125_we,pɔ̂,pɔ̂,p ɔ̂/ɔ,,taffrendanda,,,^ p ɔ̂ $,default
NdandaDenfap-125_we-1,,NdandaDenfap,125_we,wɔ̌,wɔ̌,w ɔ̌/ɔ,,taffrendanda,,,^ w ɔ̌ $,default
NdandaZua-125_we-1,,NdandaZua,125_we,bɔ̀,bɔ̀,b ɔ̀/ɔ,,taffrendanda,,,^ b ɔ̀ $,default
Goshimjang-125_we-1,,Goshimjang,125_we,bɔ̀,bɔ̀,b ɔ̀/ɔ,,taffrendanda,,,^ b ɔ̀ $,default
NdandaNyep-140_youpl-1,,NdandaNyep,140_youpl,wɔ̌p,wɔ̌p,w ɔ̌/ɔ p,,taffrendanda,,,^ w ɔ̌ p $,default
NdandaShingou-140_youpl-1,,NdandaShingou,140_youpl,wɔ̌p,wɔ̌p,w ɔ̌/ɔ p,,taffrendanda,,,^ w ɔ̌ p $,default
NdandaCaa-140_youpl-1,,NdandaCaa,140_youpl,wɔ̌p,wɔ̌p,w ɔ̌/ɔ p,,taffrendanda,,,^ w ɔ̌ p $,default
NdandaMeno-140_youpl-1,,NdandaMeno,140_youpl,pǔ,pǔ,p ǔ/u,,taffrendanda,,,^ p ǔ $,default
NdandaLek-140_youpl-1,,NdandaLek,140_youpl,pə̀,pə̀,p ə̀/ə,,taffrendanda,,,^ p ə̀ $,default
NdandaNgwa-140_youpl-1,,NdandaNgwa,140_youpl,wǔp,wǔp,w ǔ/u p,,taffrendanda,,,^ w ǔ p $,default
NdandaTwefap-140_youpl-1,,NdandaTwefap,140_youpl,wǔp,wǔp,w ǔ/u p,,taffrendanda,,,^ w ǔ p $,default
NdandaDenfap-140_youpl-1,,NdandaDenfap,140_youpl,wɔ̌p,wɔ̌p,w ɔ̌/ɔ p,,taffrendanda,,,^ w ɔ̌ p $,default
NdandaZua-140_youpl-1,,NdandaZua,140_youpl,bú,bú,b ú/u,,taffrendanda,,,^ b ú $,default
Goshimjang-140_youpl-1,,Goshimjang,140_youpl,bʉ́,bʉ́,b ʉ́/ʉ,,taffrendanda,,,^ b ʉ́ $,default
NdandaNyep-114_they-1,,NdandaNyep,114_they,wɔ̌p,wɔ̌p,w ɔ̌/ɔ p,,taffrendanda,,,^ w ɔ̌ p $,default
NdandaShingou-114_they-1,,NdandaShingou,114_they,wɔ̌p,wɔ̌p,w ɔ̌/ɔ p,,taffrendanda,,,^ w ɔ̌ p $,default
NdandaCaa-114_they-1,,NdandaCaa,114_they,wɔ̌p,wɔ̌p,w ɔ̌/ɔ p,,taffrendanda,,,^ w ɔ̌ p $,default
NdandaMeno-114_they-1,,NdandaMeno,114_they,pǔ,pǔ,p ǔ/u,,taffrendanda,,,^ p ǔ $,default
NdandaLek-114_they-1,,NdandaLek,114_they,́pú,́pú,p ú/u,,taffrendanda,,,^ ́p ú $,default
NdandaNgwa-114_they-1,,NdandaNgwa,114_they,wǔp,wǔp,w ǔ/u p,,taffrendanda,,,^ w ǔ p $,default
