ID,Name,Concepticon_ID,Concepticon_Gloss
1_all,All,,
2_animal,Animal,,
3_ash,Ash,,
4_back,Back,,
5_bad,Bad,,
6_bark,Bark,,
7_belly,Belly,,
8_big,Big,,
9_bird,Bird,,
10_black,Black,,
11_blood,Blood,,
12_bone,Bone,,
13_breast,Breast,,
14_child,Child,,
15_cloud,Cloud,,
16_cold,Cold,,
17_day,Day,,
18_dirty,Dirty,,
19_dog,Dog,,
20_dry,Dry,,
21_dull,Dull,,
22_dust,Dust,,
23_ear,Ear,,
24_earth,Earth,,
25_egg,Egg,,
26_eye,Eye,,
27_far,Far,,
28_fat,Fat,,
29_father,Father,,
30_feather,Feather,,
31_few,Few,,
32_fingernail,Finger nail,,
33_fire,Fire,,
34_fish,Fish,,
35_five,Five,,
36_flower,Flower,,
37_foot,Foot,,
38_forest,Forest,,
39_four,Four,,
40_fruit,Fruit,,
41_full,Full,,
42_good,Good,,
43_grass,Grass,,
44_green,Green,,
45_guts,Guts,,
46_hair,Hair,,
47_hand,Hand,,
48_he,He,,
49_head,Head,,
50_heart,Heart,,
51_heavy,Heavy,,
52_here,Here,,
53_horn,Horn,,
54_how,How,,
55_human,Human,,
56_husband,Husband,,
57_i,I,,
58_ice,Ice,,
59_knee,Knee,,
60_lake,Lake,,
61_leaf,Leaf,,
62_left,Left,,
63_leg,Leg,,
64_liver,Liver,,
65_long,Long,,
66_louse,Louse,,
67_man,Man,,
68_many,Many,,
69_meat,Meat,,
70_moon,Moon,,
71_mother,Mother,,
72_mountain,Mountain,,
73_mouth,Mouth,,
74_narrow,Narrow,,
75_near,Near,,
76_neck,Neck,,
77_new,New,,
78_night,Night,,
79_nose,Nose,,
80_not,Not,,
81_old,Old,,
82_one,One,,
83_other,Other,,
84_rain,Rain,,
85_red,Red,,
86_right,Right,,
87_river,River,,
88_road,Road,,
89_root,Root,,
90_rope,Rope,,
91_rotten,Rotten,,
92_round,Round,,
93_salt,Salt,,
94_sand,Sand,,
95_sea,Sea,,
96_seed,Seed,,
97_sharp,Sharp,,
98_short,Short,,
99_skin,Skin,,
100_sky,Sky,,
101_small,Small,,
102_smoke,Smoke,,
103_smooth,Smooth,,
104_snake,Snake,,
105_some,Some,,
106_star,Star,,
107_stick,Stick,,
108_stone,Stone,,
109_straight,Straight,,
110_sun,Sun,,
111_tail,Tail,,
112_that,That,,
113_there,There,,
114_they,They,,
115_thick,Thick,,
116_thin,Thin,,
117_this,This,,
118_three,Three,,
119_tongue,Tongue,,
120_tooth,Tooth,,
121_tree,Tree,,
122_two,Two,,
123_warm,Warm,,
124_water,Water,,
125_we,We,,
126_wet,Wet,,
127_what,What,,
128_when,When,,
129_where,Where,,
130_white,White,,
131_who,Who,,
132_wide,Wide,,
133_wife,Wife,,
134_wind,Wind,,
135_wing,Wing,,
136_woman,Woman,,
137_worm,Worm,,
138_year,Year,,
139_yellow,Yellow,,
140_youpl,You (pl),,
141_yousg,You (sg),,
142_fog,fog,,
143_snow,snow,,
144_tobite,to bite,,
145_toblow,to blow,,
146_tobreathe,to breathe,,
147_toburn,to burn,,
148_tocome,to come,,
149_tocount,to count,,
150_tocut,to cut,,
151_todie,to die,,
152_todig,to dig,,
153_todrink,to drink,,
154_toeat,to eat,,
155_tofall,to fall,,
156_tofear,to fear,,
157_tofight,to fight,,
158_tofloat,to float,,
159_toflow,to flow,,
160_tofly,to fly,,
161_tofreeze,to freeze,,
162_togive,to give,,
163_tohear,to hear,,
164_tohit,to hit,,
165_tohold,to hold,,
166_tohunt,to hunt,,
167_tokill,to kill,,
168_tolaugh,to laugh,,
169_tolie,to lie,,
170_tolive,to live,,
171_tonkow,to nkow,,
172_toplay,to play,,
173_topull,to pull,,
174_topush,to push,,
175_torub,to rub,,
176_tosay,to say,,
177_toscratch,to scratch,,
178_tosee,to see,,
179_tosew,to sew,,
180_tosing,to sing,,
181_tosit,to sit,,
182_tosleep,to sleep,,
183_tosmell,to smell,,
184_tospit,to spit,,
185_tosplit,to split,,
186_tosqueeze,to squeeze,,
187_tostab,to stab,,
188_tostand,to stand,,
189_tosuck,to suck,,
190_toswell,to swell,,
191_toswim,to swim,,
192_tothink,to think,,
193_tothrow,to throw,,
194_totie,to tie,,
195_toturn,to turn,,
196_tovomit,to vomit,,
197_towalk,to walk,,
198_towash,to wash,,
199_towipe,to wipe,,
