ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT
161	NdandaNyep	All	nzùŋgí áwágá	nzùŋgí_áwágá	ⁿz ù/u ⁿg í/i + á/a w á/a g á/a		4 2	ⁿz ù/u ⁿg í/i + - á/a w á/a g - - á/a -
162	NdandaShingou	All	nzùŋgí áwágá	nzùŋgí_áwágá	ⁿz ù/u ⁿg í/i + á/a w á/a g á/a		4 2	ⁿz ù/u ⁿg í/i + - á/a w á/a g - - á/a -
163	NdandaCaa	All	wǎgálâk	wǎgálâk	w ǎ/a g á/a l â/a k		2	- - w ǎ/a g á/a l â/a k
164	NdandaMeno	All	wǎgálâk	wǎgálâk	w ǎ/a g á/a l â/a k		2	- - w ǎ/a g á/a l â/a k
165	NdandaLek	All	wáŋ	wáŋ	w á/a ŋ		1	w á/a ŋ
166	NdandaNgwa	All	lâ wághá	lâ_wághá	l â/a + w á/a g h á/a		3 2	l â/a + - - w á/a g - h á/a -
167	NdandaTwefap	All	láwǎk	láwǎk	l á/a w ǎ/a k		2	l á/a w ǎ/a k - - - -
168	NdandaDenfap	All	léwɔ̌k	léwɔ̌k	l é/e w ɔ̌/ɔ k		2	l é/e w ɔ̌/ɔ k - - - -
169	NdandaZua	All	ɣáŋ	ɣáŋ	ɣ á/a ŋ		1	ɣ á/a ŋ
170	Goshimjang	All	ɣáŋ	ɣáŋ	ɣ á/a ŋ		1	ɣ á/a ŋ
431	NdandaNyep	Animal	nɔ̂	nɔ̂	n ɔ̂/ɔ		15	n ɔ̂/ɔ -
432	NdandaShingou	Animal	nɔ̂	nɔ̂	n ɔ̂/ɔ		15	n ɔ̂/ɔ -
433	NdandaCaa	Animal	nɔ̂	nɔ̂	n ɔ̂/ɔ		15	n ɔ̂/ɔ -
434	NdandaMeno	Animal	nɔ̂	nɔ̂	n ɔ̂/ɔ		15	n ɔ̂/ɔ -
435	NdandaLek	Animal	nɔ̂	nɔ̂	n ɔ̂/ɔ		15	n ɔ̂/ɔ -
436	NdandaNgwa	Animal	nɔ̂	nɔ̂	n ɔ̂/ɔ		15	n ɔ̂/ɔ -
437	NdandaTwefap	Animal	nǔp	nǔp	n ǔ/u p		15	n ǔ/u p
