Grapheme	IPA	Frequence	Codepoints
nz	ⁿz
^nz	ⁿz
ŋk	ⁿk
^ŋk	ⁿk
mb	ⁿb
^mb	ⁿb
mp	ⁿp
^mp	ⁿp
nd	ⁿd
^nd	ⁿd
nt	ⁿt
^ng	ⁿt
ɱv	ⁿv
^ɱv	ⁿv
bv	bv
^bv	bv
ndz	ⁿdz
^ndz	ⁿdz
ns	ⁿs
^ns	ⁿs
̀mb	ⁿb
^̀mb	ⁿb
̀m	m
^̀m	m
̀n	n
^̀m	m
ng	ⁿg
^ng	ⁿg
ŋg	ⁿg
^ŋg	ⁿg
ndʒ	ⁿdʒ
^ndʒ	ⁿdʒ
^nʃ	ⁿʃ
nʃ	ⁿʃ
n	n	600	U+006e
_	+	411	U+005f
ŋ	ŋ	373	U+014b
k	k	335	U+006b
p	p	327	U+0070
m	m	301	U+006d
b	b	286	U+0062
í	í/i	237	U+00ed
s	s	221	U+0073
t	t	215	U+0074
ɔ̌	ɔ̌/ɔ	208	U+0254 U+030c
d	d	203	U+0064
g	g	198	U+0067
ú	ú/u	197	U+00fa
é	é/e	196	U+00e9
ì	ì/i	191	U+00ec
ə̀	ə̀/ə	190	U+0259 U+0300
ǔ	ǔ/u	183	U+01d4
ǎ	ǎ/a	167	U+01ce
ɨ̌	ɨ̌/ɨ	161	U+0268 U+030c
ʔ	ʔ	159	U+0294
z	z	144	U+007a
j	j	129	U+006a
ɔ́	ɔ́/ɔ	124	U+0254 U+0301
á	á/a	123	U+00e1
tʃ	tʃ	122	U+0074 U+0283
^tʃ	tʃ
ɛ̌	ɛ̌/ɛ	120	U+025b U+030c
h	h	101	U+0068
f	f	100	U+0066
w	w	98	U+0077
à	à/a	98	U+00e0
â	â/a	91	U+00e2
ɛ́	ɛ́/ɛ	89	U+025b U+0301
ǐ	ǐ/i	88	U+01d0
l	l	86	U+006c
ə́	ə́/ə	82	U+0259 U+0301
ɨ́	ɨ́/ɨ	68	U+0268 U+0301
v	v	67	U+0076
ts	ts	65	U+0074 U+0073
^ts	ts
ɲ	ɲ	63	U+0272
ʃ	ʃ	58	U+0283
ɔ̂	ɔ̂/ɔ	55	U+0254 U+0302
