ID	DOCULECT	VALUE	CONCEPT	POS
1	Ndanda_Nyep	wɛ́	I	NA
2	Ndanda_Shingou	wɛ́	I	NA
3	Ndanda_Ca-a	wɛ́	I	NA
4	Ndanda_Meno	mé	I	NA
5	Ndanda_Lek	mà	I	NA
6	Ndanda_Ngwa	mǎ	I	NA
7	Ndanda_Twefap	mɔ̂	I	NA
8	Ndanda_Denfap	mé	I	NA
9	Ndanda_Zua	̀mà	I	NA
10	Goshimjang	mà	I	NA
11	Ndanda_Nyep	jɔ̌	You (sg)	NA
12	Ndanda_Shingou	hû	You (sg)	NA
13	Ndanda_Ca-a	hû	You (sg)	NA
14	Ndanda_Meno	hû	You (sg)	NA
15	Ndanda_Lek	ù	You (sg)	NA
16	Ndanda_Ngwa	wû	You (sg)	NA
17	Ndanda_Twefap	hû	You (sg)	NA
18	Ndanda_Denfap	hûwɔ́	You (sg)	NA
19	Ndanda_Zua	ù	You (sg)	NA
20	Goshimjang	ù	You (sg)	NA
21	Ndanda_Nyep	jɔ̌	He 	NA
22	Ndanda_Shingou	jɔ̌	He 	NA
23	Ndanda_Ca-a	jɔ̌	He 	NA
24	Ndanda_Meno	jɔ̌	He 	NA
25	Ndanda_Lek	jɔ́	He 	NA
26	Ndanda_Ngwa	ʒǔ	He 	NA
27	Ndanda_Twefap	ʒîp	He 	NA
28	Ndanda_Denfap	ʒɨ̌	He 	NA
29	Ndanda_Zua	jó	He 	NA
30	Goshimjang	jɔ́	He 	NA
31	Ndanda_Nyep	pâpə̀	We 	NA
32	Ndanda_Shingou	pâpə̀	We 	NA
33	Ndanda_Ca-a	pâpə̀	We 	NA
34	Ndanda_Meno	pə̀	We 	NA
35	Ndanda_Lek	pɔ̀	We 	NA
36	Ndanda_Ngwa	pâpə̀	We 	NA
37	Ndanda_Twefap	pɔ̂	We 	NA
38	Ndanda_Denfap	wɔ̌	We 	NA
39	Ndanda_Zua	bɔ̀	We 	NA
40	Goshimjang	bɔ̀	We 	NA
41	Ndanda_Nyep	wɔ̌p 	You (pl)	NA
42	Ndanda_Shingou	wɔ̌p 	You (pl)	NA
43	Ndanda_Ca-a	wɔ̌p 	You (pl)	NA
44	Ndanda_Meno	pǔ	You (pl)	NA
45	Ndanda_Lek	pə̀	You (pl)	NA
46	Ndanda_Ngwa	wǔp	You (pl)	NA
47	Ndanda_Twefap	wǔp	You (pl)	NA
48	Ndanda_Denfap	wɔ̌p 	You (pl)	NA
49	Ndanda_Zua	bú	You (pl)	NA
50	Goshimjang	bʉ́	You (pl)	NA
51	Ndanda_Nyep	wɔ̌p 	They 	NA
52	Ndanda_Shingou	wɔ̌p 	They 	NA
53	Ndanda_Ca-a	wɔ̌p 	They 	NA
54	Ndanda_Meno	pǔ	They 	NA
55	Ndanda_Lek	́pú	They 	NA
56	Ndanda_Ngwa	wǔp	They 	NA
57	Ndanda_Twefap	wǔp	They 	NA
58	Ndanda_Denfap	wɔ̌p 	They 	NA
59	Ndanda_Zua	bú	They 	NA
60	Goshimjang	bú	They 	NA
61	Ndanda_Nyep	jɔ̌ŋgɛ́ 	This 	NA
62	Ndanda_Shingou	jîgə́lɛ̂ 	This 	NA
63	Ndanda_Ca-a	jìgâŋgɛ́	This 	NA
64	Ndanda_Meno	sâ	This 	NA
65	Ndanda_Lek	jìgà 	This 	NA
66	Ndanda_Ngwa	jɔ̌ŋgɔ́lɔ́	This 	NA
67	Ndanda_Twefap	jɔ̌ŋgɛ̀	This 	NA
68	Ndanda_Denfap	jɔ̌	This 	NA
69	Ndanda_Zua	jìŋà	This 	NA
70	Goshimjang	jàŋà 	This 	NA
71	Ndanda_Nyep	jìgà 	That 	NA
72	Ndanda_Shingou	jì	That 	NA
73	Ndanda_Ca-a	jì	That 	NA
74	Ndanda_Meno	jì	That 	NA
75	Ndanda_Lek	jìgì	That 	NA
76	Ndanda_Ngwa	jì	That 	NA
77	Ndanda_Twefap	jɔ̌	That 	NA
78	Ndanda_Denfap	jɔ̌	That 	NA
79	Ndanda_Zua	já 	That 	NA
80	Goshimjang	jìbì	That 	NA
81	Ndanda_Nyep	sɛ̌	Here 	NA
82	Ndanda_Shingou	sɛ̌	Here	NA
83	Ndanda_Ca-a	ʃɛ̌	Here	NA
84	Ndanda_Meno	sâ	Here	NA
85	Ndanda_Lek	síndìʔì	Here	NA
86	Ndanda_Ngwa	ʃɛ̌	Here	NA
87	Ndanda_Twefap	ʃɛ̌	Here	NA
88	Ndanda_Denfap	ʃɛ̌	Here	NA
89	Ndanda_Zua	sílì 	Here	NA
90	Goshimjang	jísì	Here	NA
91	Ndanda_Nyep	sî	There 	NA
92	Ndanda_Shingou	sî	There 	NA
