# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
#
161	1_all	All	NdandaNyep	Ndanda_Nyep	nzùŋgí áwágá	nzùŋgí_áwágá	ⁿz ù/u ⁿg í/i + á/a w á/a g á/a	bato1245		5.254489	10.471901		3 7 1 7 9 7 6 7 1 7	AXBZ_XBYBZ	SYKI_AWAKA	7	7.S.C 7.Y.V 7.K.C 7.I.V 7._._ 7.A.V 7.W.C 7.A.V 7.K.C 7.A.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 1.3 1.75 0.8	ⁿzù/uⁿgí/i+á/awá/agá/a	0	7 6	ⁿz ù/u ⁿg í/i + á/a w á/a g - á/a
162	1_all	All	NdandaShingou	Ndanda_Shingou	nzùŋgí áwágá	nzùŋgí_áwágá	ⁿz ù/u ⁿg í/i + á/a w á/a g á/a	ndan1241		5.238847	10.491081		3 7 1 7 9 7 6 7 1 7	AXBZ_XBYBZ	SYKI_AWAKA	8	8.S.C 8.Y.V 8.K.C 8.I.V 8._._ 8.A.V 8.W.C 8.A.V 8.K.C 8.A.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 1.3 1.75 0.8	ⁿzù/uⁿgí/i+á/awá/agá/a	0	7 6	ⁿz ù/u ⁿg í/i + á/a w á/a g - á/a
163	1_all	All	NdandaCaa	Ndanda_Ca-a	wǎgálâk	wǎgálâk	w ǎ/a g á/a l â/a k	ndan1241		5.14715	10.3942		6 7 1 7 5 7 1	AXBYBYN	WAKALAK	2	2.W.C 2.A.V 2.K.C 2.A.V 2.L.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	wǎ/agá/alâ/ak	0	2	w ǎ/a g á/a l â/a k
164	1_all	All	NdandaMeno	Ndanda_Meno	wǎgálâk	wǎgálâk	w ǎ/a g á/a l â/a k	ndan1241		5.069482	10.425853		6 7 1 7 5 7 1	AXBYBYN	WAKALAK	5	5.W.C 5.A.V 5.K.C 5.A.V 5.L.C 5.A.V 5.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	wǎ/agá/alâ/ak	0	2	w ǎ/a g á/a l â/a k
165	1_all	All	NdandaLek	Ndanda_Lek	wáŋ	wáŋ	w á/a ŋ	ndan1241		5.150741	10.429029		6 7 4	AXN	WAN	4	4.W.C 4.A.V 4.N.c	2.0 1.5 0.8	wá/aŋ	0	4	w á/a ŋ
166	1_all	All	NdandaNgwa	Ndanda_Ngwa	lâ wághá	lâ_wághá	l â/a + w á/a g h á/a	ndan1241		5.191047	10.473404		5 7 9 6 7 1 3 7	AX_AXBCZ	LA_WAKHA	6	6.L.C 6.A.V 6._._ 6.W.C 6.A.V 6.K.C 6.H.C 6.A.V	2.0 1.5 0.0 2.0 1.5 1.75 1.5 0.8	lâ/a+wá/aghá/a	0	5 6	l â/a + - w á/a g h á/a
167	1_all	All	NdandaTwefap	Ndanda_Twefap	láwǎk	láwǎk	l á/a w ǎ/a k	ndan1241		5.027245	10.473575		5 7 6 7 1	AXBYN	LAWAK	9	9.L.C 9.A.V 9.W.C 9.A.V 9.K.c	2.0 1.5 1.75 1.3 0.8	lá/awǎ/ak	0	3	l á/a w ǎ/a k
168	1_all	All	NdandaDenfap	Ndanda_Denfap	léwɔ̌k	léwɔ̌k	l é/e w ɔ̌/ɔ k	ndan1241		5.111459	10.336031		5 7 6 7 1	AXBYN	LEWUK	3	3.L.C 3.E.V 3.W.C 3.U.V 3.K.c	2.0 1.5 1.75 1.3 0.8	lé/ewɔ̌/ɔk	0	3	l é/e w ɔ̌/ɔ k
169	1_all	All	NdandaZua	Ndanda_Zua	ɣáŋ	ɣáŋ	ɣ á/a ŋ						3 7 4	AXN	GAN	10	10.G.C 10.A.V 10.N.c	2.0 1.5 0.8	ɣá/aŋ	0	1	ɣ á/a ŋ
